,hate-speech,Human cn,contranarrativa,Ofensividad,Postura,Informatividad,Veracidad,Edición,Comparación H-M,Comentarios,target
0,Los niños Downy deberían ser aislados en escuelas especiales por su propio interés.,Los niños con discapacidad deben ser aceptados sin discriminación.,"Los niños con síndrome de Down tienen derecho a recibir una educación inclusiva que les permita desarrollar sus habilidades y potencial al máximo, al igual que cualquier otro niño. La inclusión y el apoyo en las escuelas regulares pueden beneficiar tanto a los niños con síndrome de Down como a sus compañeros, fomentando la empatía, la tolerancia y la diversidad en nuestra sociedad.",1,3,3,3,0,2,,DISCAPACITADOS
1,Los niños con dificultades de aprendizaje deben ser excluidos de la educación porque no pertenecen a la escuela.,"Ningún niño debería ser excluido de la escuela por ningún motivo, independientemente de su situación.","Los niños con dificultades de aprendizaje tienen el mismo derecho a la educación que cualquier otro niño. La inclusión y el apoyo adecuado en el entorno escolar pueden marcar una gran diferencia en el desarrollo y la calidad de vida de estos niños. No debemos discriminarlos, sino buscar formas de ayudarlos a aprender y crecer junto con sus compañeros.",1,3,3,3,0,2,,DISCAPACITADOS
2,Los discapacitados mentales no deberían poder votar. Son una carga para la sociedad.,La gente tiene derecho a votar. Forma parte de nuestro sistema democrático. No quisiera restringir ese derecho a nadie.,"Creo que es importante recordar que todas las personas, independientemente de sus habilidades, tienen el derecho de participar en el proceso democrático. Valorar la diversidad y la inclusión en nuestra sociedad significa garantizar que todos tengan voz y puedan contribuir al bienestar común.",1,3,3,3,0,2,,DISCAPACITADOS
3,Los discapacitados mentales están jodidos. Sufren una lesión cerebral y no pueden funcionar en el trabajo.,"Aunque algunos discapacitados mentales estén ""jodidos"", como usted amablemente ha dicho, al menos deberíamos reconocer que son humanos. Afirmar que no lo son es tratarlos como animales.","Las personas con discapacidades mentales pueden enfrentar desafíos, pero también tienen habilidades y talentos únicos que pueden aportar al lugar de trabajo. No debemos subestimar su capacidad para contribuir y tener éxito en diferentes entornos laborales.",1,3,2,3,0,2,,DISCAPACITADOS
4,Los discapacitados mentales son un desastre.,"¿Qué quiere decir con ""estropeado""? Muchos de nosotros también estamos ""jodidos"". Así que, o todos estamos ""jodidos"" porque hay algunos que lo afirman, o nadie lo está. Yo preferiría la segunda opción.","Las personas con discapacidades mentales pueden enfrentar desafíos únicos, pero también tienen habilidades y talentos que pueden aportar a la sociedad. Debemos centrarnos en apoyar y empoderar a estas personas en lugar de etiquetarlos negativamente.",1,3,2,3,0,2,,DISCAPACITADOS
5,Los autistas son un problema en nuestra sociedad.,"¿Por qué cree que es un problema? Dudo que ningún autista sea un problema en sí, pero, para los discapacitados, la vida cotidiana no inclusiva sí lo es.","Las personas con autismo tienen habilidades y talentos únicos que pueden contribuir significativamente a nuestra sociedad. Debemos aprender a aceptar y apoyar a todos los individuos en lugar de etiquetarlos como un ""problema"".",1,3,2,3,0,2,,DISCAPACITADOS
6,Todos estos autistas ponen en peligro nuestra sociedad.,Me gustaría que se redujeran los casos de discriminación contra los autistas. No son ningún peligro.,"Las personas con autismo tienen habilidades y talentos únicos que pueden contribuir de manera significativa a nuestra sociedad. Es fundamental fomentar la inclusión y la aceptación, en lugar de juzgar y discriminar.",1,3,2,3,0,2,,DISCAPACITADOS
7,Los autistas son una carga para la sociedad.,No deberíamos ser tan duros con los autistas. Sus dificultades pueden mitigarse con una sociedad más integradora.,"Las personas con autismo tienen habilidades y talentos únicos que pueden aportar mucho a nuestra sociedad. En lugar de considerarlos una carga, deberíamos trabajar juntos para crear un entorno inclusivo y comprensivo que les permita alcanzar su máximo potencial.",1,3,2,3,0,2,,DISCAPACITADOS
8,Los autistas son inferiores.,"Las pruebas de que los autistas son inferiores son escasas: se suele decir que los autistas tienen talentos únicos, que poseen capacidades especiales y que la única diferencia está en sus interacciones sociales.","Las personas con autismo tienen habilidades y talentos únicos que enriquecen nuestras vidas y nuestra sociedad. Es importante apoyar y celebrar la diversidad, en lugar de etiquetar a alguien como ""inferior"" debido a una condición neurológica.",1,3,2,3,0,2,,DISCAPACITADOS
9,Los discapacitados físicos están enfadados y son unos inútiles.,Al menos son muy conscientes de los efectos negativos de la injusta discriminación sobre ellos y sobre las personas con otras discapacidades.,"Las personas con discapacidades físicas pueden enfrentar desafíos únicos, pero eso no significa que estén ""enfadadas"" o sean ""inútiles"". De hecho, muchas personas con discapacidades físicas han demostrado ser increíblemente resilientes y exitosas en diversas áreas de la vida. Debemos celebrar y apoyar a todos, independientemente de sus habilidades físicas.",1,3,3,3,1,2,,DISCAPACITADOS
10,Los discapacitados son infrahumanos y sólo merecen desprecio y burla.,"La expresión ""subhumano"" se ha forzado para significar ""de un determinado tipo de cuerpo"", lo que, en mi opinión, trivializa y desestima los graves problemas a los que se enfrentan las personas de un determinado tipo de cuerpo.",Las personas con discapacidades son tan humanas como cualquiera de nosotros y merecen respeto y oportunidades para desarrollar sus habilidades y contribuir a la sociedad. Es importante fomentar la inclusión y el entendimiento en lugar de la discriminación y el desprecio.,1,3,2,3,0,2,,DISCAPACITADOS
11,Sería mejor para nuestra sociedad que los discapacitados físicos no vivieran su antigüedad.,"Esto no es cierto. Más bien, si se piensa bien, muchas personas discapacitadas vivirán hasta finales de los 70, si no padecen demencia o desequilibrios endocrinos. Y su contribución a nuestra sociedad es innegable.","La diversidad es lo que hace a nuestra sociedad única y especial. Las personas con discapacidades físicas tienen mucho que ofrecer y han demostrado una y otra vez que pueden superar desafíos y hacer contribuciones valiosas en diversas áreas. No se trata de cuánto tiempo vivan, sino de cómo enriquecen nuestras vidas y nuestra sociedad.",1,3,3,3,0,2,,DISCAPACITADOS
12,Los discapacitados físicos merecen ser utilizados.,"Es importante reconocer que hay personas que sufren discapacidades físicas. Además, en muchas sociedades, la condición física de una persona es un motivo de discriminación.","Los discapacitados físicos, como cualquier otra persona, merecen respeto, igualdad de oportunidades y dignidad en sus vidas. No se les debe tratar de manera diferente o inferior debido a su discapacidad. La empatía y la inclusión son fundamentales en una sociedad justa y equitativa.",1,3,3,3,0,2,,DISCAPACITADOS
